,StudentID,AssignmentID,WhileCount
127,Student16,Assign13,1
128,Student17,Assign6,1
129,Student17,Assign7,0
130,Student17,Assign8,6
131,Student17,Assign9,0
132,Student17,Assign10,0
133,Student17,Assign11,0
134,Student17,Assign12,0
135,Student17,Assign13,0
136,Student18,Assign6,0
137,Student18,Assign7,0
138,Student18,Assign8,2
139,Student18,Assign9,2
140,Student18,Assign10,1
141,Student18,Assign11,1
142,Student18,Assign12,2
143,Student18,Assign13,1
144,Student19,Assign6,0
145,Student19,Assign7,0
146,Student19,Assign8,2
147,Student19,Assign9,0
148,Student19,Assign10,1
149,Student19,Assign11,1
150,Student19,Assign12,1
151,Student19,Assign13,1
152,Student20,Assign6,2
153,Student20,Assign7,0
154,Student20,Assign8,2
155,Student20,Assign9,2
156,Student20,Assign10,2
157,Student20,Assign11,1
158,Student20,Assign12,0
159,Student20,Assign13,0
160,Student21,Assign6,0
161,Student21,Assign7,0
162,Student21,Assign8,1
163,Student21,Assign9,3
164,Student21,Assign10,1
165,Student21,Assign11,0
166,Student21,Assign12,9
167,Student21,Assign13,1
168,Student22,Assign6,1
169,Student22,Assign7,0
170,Student22,Assign8,1
171,Student22,Assign9,5
172,Student22,Assign10,2
173,Student22,Assign11,2
174,Student22,Assign12,1
175,Student22,Assign13,0
176,Student23,Assign6,0
177,Student23,Assign7,0
178,Student23,Assign8,1
179,Student23,Assign9,2
180,Student23,Assign10,0
181,Student23,Assign11,1
182,Student23,Assign12,1
183,Student23,Assign13,0
184,Student24,Assign6,1
185,Student24,Assign7,0
186,Student24,Assign8,2
187,Student24,Assign9,2
188,Student24,Assign10,1
189,Student24,Assign11,1
190,Student24,Assign12,5
191,Student24,Assign13,1
192,Student25,Assign6,0
193,Student25,Assign7,0
194,Student25,Assign8,0
195,Student25,Assign9,0
196,Student25,Assign10,0
197,Student25,Assign11,0
198,Student25,Assign12,0
199,Student25,Assign13,0
200,Student26,Assign6,0
201,Student26,Assign7,17
202,Student26,Assign8,1
203,Student26,Assign9,6
204,Student26,Assign10,3
205,Student26,Assign11,1
206,Student26,Assign12,3
207,Student26,Assign13,7
208,Student27,Assign6,0
209,Student27,Assign7,4
210,Student27,Assign8,1
211,Student27,Assign9,2
212,Student27,Assign10,1
213,Student27,Assign11,2
214,Student27,Assign12,3
215,Student27,Assign13,2
216,Student28,Assign6,0
217,Student28,Assign7,0
218,Student28,Assign8,1
219,Student28,Assign9,4
220,Student28,Assign10,1
221,Student28,Assign11,1
222,Student28,Assign12,4
223,Student28,Assign13,15
224,Student29,Assign6,2
225,Student29,Assign7,0
226,Student29,Assign8,27
227,Student29,Assign9,0
228,Student29,Assign10,6
229,Student29,Assign11,2
230,Student29,Assign12,5
231,Student29,Assign13,1
232,Student30,Assign6,0
233,Student30,Assign7,0
234,Student30,Assign8,4
235,Student30,Assign9,9
236,Student30,Assign10,1
237,Student30,Assign11,1
238,Student30,Assign12,4
239,Student30,Assign13,0
240,Student31,Assign6,0
241,Student31,Assign7,0
242,Student31,Assign8,0
243,Student31,Assign9,0
244,Student31,Assign10,0
245,Student31,Assign11,0
246,Student31,Assign12,0
247,Student31,Assign13,0
248,Student32,Assign6,0
249,Student32,Assign7,0
250,Student32,Assign8,3
251,Student32,Assign9,2
252,Student32,Assign10,1
253,Student32,Assign11,1
254,Student32,Assign12,1
255,Student32,Assign13,0
256,Student33,Assign6,1
257,Student33,Assign7,0
258,Student33,Assign8,1
259,Student33,Assign9,5
260,Student33,Assign10,1
261,Student33,Assign11,1
262,Student33,Assign12,5
263,Student33,Assign13,0
264,Student34,Assign6,0
265,Student34,Assign7,0
266,Student34,Assign8,1
267,Student34,Assign9,2
268,Student34,Assign10,1
269,Student34,Assign11,1
270,Student34,Assign12,3
271,Student34,Assign13,0
272,Student35,Assign6,0
273,Student35,Assign7,0
274,Student35,Assign8,0
275,Student35,Assign9,0
276,Student35,Assign10,0
277,Student35,Assign11,0
278,Student35,Assign12,0
279,Student35,Assign13,0
280,Student36,Assign6,2
281,Student36,Assign7,0
282,Student36,Assign8,1
283,Student36,Assign9,2
284,Student36,Assign10,1
285,Student36,Assign11,1
286,Student36,Assign12,1
287,Student36,Assign13,1
288,Student37,Assign6,5
289,Student37,Assign7,0
290,Student37,Assign8,1
291,Student37,Assign9,3
292,Student37,Assign10,1
293,Student37,Assign11,1
294,Student37,Assign12,0
295,Student37,Assign13,1
296,Student38,Assign6,1
297,Student38,Assign7,0
298,Student38,Assign8,2
299,Student38,Assign9,2
300,Student38,Assign10,1
301,Student38,Assign11,1
302,Student38,Assign12,0
303,Student38,Assign13,1
304,Student39,Assign6,2
305,Student39,Assign7,0
306,Student39,Assign8,4
307,Student39,Assign9,6
308,Student39,Assign10,3
309,Student39,Assign11,1
310,Student39,Assign12,3
311,Student39,Assign13,1
312,Student40,Assign6,0
313,Student40,Assign7,0
314,Student40,Assign8,2
315,Student40,Assign9,2
316,Student40,Assign10,1
317,Student40,Assign11,1
318,Student40,Assign12,3
319,Student40,Assign13,0
320,Student41,Assign6,1
321,Student41,Assign7,0
322,Student41,Assign8,0
323,Student41,Assign9,0
324,Student41,Assign10,0
325,Student41,Assign11,0
326,Student41,Assign12,0
327,Student41,Assign13,0
328,Student42,Assign6,0
329,Student42,Assign7,1
330,Student42,Assign8,1
331,Student42,Assign9,2
332,Student42,Assign10,1
333,Student42,Assign11,1
334,Student42,Assign12,2
335,Student42,Assign13,1
336,Student43,Assign6,0
337,Student43,Assign7,4
338,Student43,Assign8,1
339,Student43,Assign9,2
340,Student43,Assign10,1
341,Student43,Assign11,1
342,Student43,Assign12,1
343,Student43,Assign13,1
344,Student44,Assign6,0
345,Student44,Assign7,0
346,Student44,Assign8,1
347,Student44,Assign9,0
348,Student44,Assign10,0
349,Student44,Assign11,1
350,Student44,Assign12,0
351,Student44,Assign13,0
