StudentID,AssignmentID,Number of Lines
Student33,Assign13,0
Student34,Assign6,22
Student34,Assign7,17
Student34,Assign8,46
Student34,Assign9,89
Student34,Assign10,73
Student34,Assign11,102
Student34,Assign12,0
Student34,Assign13,0
Student35,Assign6,0
Student35,Assign7,0
Student35,Assign8,0
Student35,Assign9,0
Student35,Assign10,0
Student35,Assign11,0
Student35,Assign12,0
Student35,Assign13,0
Student36,Assign6,30
Student36,Assign7,20
Student36,Assign8,0
Student36,Assign9,64
Student36,Assign10,0
Student36,Assign11,0
Student36,Assign12,24
Student36,Assign13,0
Student37,Assign6,29
Student37,Assign7,20
Student37,Assign8,49
Student37,Assign9,139
Student37,Assign10,73
Student37,Assign11,0
Student37,Assign12,0
Student37,Assign13,0
Student38,Assign6,0
Student38,Assign7,0
Student38,Assign8,0
Student38,Assign9,131
Student38,Assign10,0
Student38,Assign11,94
Student38,Assign12,0
Student38,Assign13,0
Student39,Assign6,22
Student39,Assign7,17
Student39,Assign8,47
Student39,Assign9,194
Student39,Assign10,143
Student39,Assign11,0
Student39,Assign12,0
Student39,Assign13,0
Student40,Assign6,29
Student40,Assign7,18
Student40,Assign8,49
Student40,Assign9,65
Student40,Assign10,0
Student40,Assign11,20
Student40,Assign12,10
Student40,Assign13,0
Student41,Assign6,0
Student41,Assign7,0
Student41,Assign8,0
Student41,Assign9,0
Student41,Assign10,0
Student41,Assign11,0
Student41,Assign12,0
Student41,Assign13,0
Student42,Assign6,28
Student42,Assign7,9
Student42,Assign8,46
Student42,Assign9,110
Student42,Assign10,73
Student42,Assign11,0
Student42,Assign12,10
Student42,Assign13,0
Student43,Assign6,27
Student43,Assign7,26
Student43,Assign8,45
Student43,Assign9,116
Student43,Assign10,0
Student43,Assign11,97
Student43,Assign12,10
Student43,Assign13,0
Student44,Assign6,28
Student44,Assign7,21
Student44,Assign8,47
Student44,Assign9,0
Student44,Assign10,0
Student44,Assign11,0
Student44,Assign12,9
Student44,Assign13,0
