,Student,Assignment,Error_Count
236,Student30,Assign10,184
237,Student30,Assign11,9
238,Student30,Assign12,51
239,Student30,Assign13,30
240,Student31,Assign6,111
241,Student31,Assign7,23
242,Student31,Assign8,0
243,Student31,Assign9,0
244,Student31,Assign10,0
245,Student31,Assign11,0
246,Student31,Assign12,0
247,Student31,Assign13,0
248,Student32,Assign6,158
249,Student32,Assign7,47
250,Student32,Assign8,2
251,Student32,Assign9,2
252,Student32,Assign10,0
253,Student32,Assign11,0
254,Student32,Assign12,3
255,Student32,Assign13,0
256,Student33,Assign6,335
257,Student33,Assign7,76
258,Student33,Assign8,7
259,Student33,Assign9,37
260,Student33,Assign10,128
261,Student33,Assign11,17
262,Student33,Assign12,86
263,Student33,Assign13,0
264,Student34,Assign6,141
265,Student34,Assign7,45
266,Student34,Assign8,36
267,Student34,Assign9,68
268,Student34,Assign10,35
269,Student34,Assign11,16
270,Student34,Assign12,47
271,Student34,Assign13,0
272,Student35,Assign6,12
273,Student35,Assign7,0
274,Student35,Assign8,0
275,Student35,Assign9,0
276,Student35,Assign10,0
277,Student35,Assign11,0
278,Student35,Assign12,0
279,Student35,Assign13,0
280,Student36,Assign6,147
281,Student36,Assign7,166
282,Student36,Assign8,25
283,Student36,Assign9,63
284,Student36,Assign10,6
285,Student36,Assign11,9
286,Student36,Assign12,8
287,Student36,Assign13,2
288,Student37,Assign6,139
289,Student37,Assign7,22
290,Student37,Assign8,0
291,Student37,Assign9,14
292,Student37,Assign10,2
293,Student37,Assign11,0
294,Student37,Assign12,0
295,Student37,Assign13,0
296,Student38,Assign6,191
297,Student38,Assign7,37
298,Student38,Assign8,3
299,Student38,Assign9,34
300,Student38,Assign10,1
301,Student38,Assign11,0
302,Student38,Assign12,0
303,Student38,Assign13,23
304,Student39,Assign6,263
305,Student39,Assign7,72
306,Student39,Assign8,4
307,Student39,Assign9,17
308,Student39,Assign10,8
309,Student39,Assign11,2
310,Student39,Assign12,41
311,Student39,Assign13,6
312,Student40,Assign6,181
313,Student40,Assign7,115
314,Student40,Assign8,27
315,Student40,Assign9,24
316,Student40,Assign10,46
317,Student40,Assign11,10
318,Student40,Assign12,51
319,Student40,Assign13,0
320,Student41,Assign6,179
321,Student41,Assign7,0
322,Student41,Assign8,0
323,Student41,Assign9,0
324,Student41,Assign10,0
325,Student41,Assign11,0
326,Student41,Assign12,0
327,Student41,Assign13,0
328,Student42,Assign6,321
329,Student42,Assign7,28
330,Student42,Assign8,18
331,Student42,Assign9,46
332,Student42,Assign10,208
333,Student42,Assign11,22
334,Student42,Assign12,42
335,Student42,Assign13,39
336,Student43,Assign6,85
337,Student43,Assign7,147
338,Student43,Assign8,69
339,Student43,Assign9,52
340,Student43,Assign10,25
341,Student43,Assign11,19
342,Student43,Assign12,26
343,Student43,Assign13,29
344,Student44,Assign6,38
345,Student44,Assign7,39
346,Student44,Assign8,7
347,Student44,Assign9,0
348,Student44,Assign10,19
349,Student44,Assign11,28
350,Student44,Assign12,18
351,Student44,Assign13,0
