,Unnamed: 0,Student,Assignment,NumOfShortPauses
18,18,Student39,Assign8,13375
22,22,Student39,Assign12,10097
16,16,Student39,Assign6,17680
21,21,Student39,Assign11,7594
23,23,Student39,Assign13,6106
101,101,Student40,Assign11,3663
102,102,Student40,Assign12,10646
100,100,Student40,Assign10,208
103,103,Student40,Assign13,0
99,99,Student40,Assign9,6850
98,98,Student40,Assign8,9155
97,97,Student40,Assign7,12113
96,96,Student40,Assign6,16139
331,331,Student41,Assign9,0
332,332,Student41,Assign10,0
328,328,Student41,Assign6,6378
330,330,Student41,Assign8,0
334,334,Student41,Assign12,0
335,335,Student41,Assign13,0
333,333,Student41,Assign11,0
329,329,Student41,Assign7,0
36,36,Student42,Assign10,13598
34,34,Student42,Assign8,7672
35,35,Student42,Assign9,20842
39,39,Student42,Assign13,8211
33,33,Student42,Assign7,3424
32,32,Student42,Assign6,11963
37,37,Student42,Assign11,7434
38,38,Student42,Assign12,11039
80,80,Student43,Assign6,11309
86,86,Student43,Assign12,4927
81,81,Student43,Assign7,13129
82,82,Student43,Assign8,14779
84,84,Student43,Assign10,132
85,85,Student43,Assign11,1643
87,87,Student43,Assign13,4843
83,83,Student43,Assign9,11227
201,201,Student44,Assign7,8904
200,200,Student44,Assign6,7701
207,207,Student44,Assign13,0
202,202,Student44,Assign8,5862
205,205,Student44,Assign11,2711
204,204,Student44,Assign10,274
206,206,Student44,Assign12,3478
203,203,Student44,Assign9,2783
