,StudentID,AssignmentID,Keystrokes_Count
81,Student11,Assign7,0
82,Student11,Assign8,0
83,Student11,Assign9,0
84,Student11,Assign10,0
85,Student11,Assign11,0
86,Student11,Assign12,0
87,Student11,Assign13,0
88,Student12,Assign6,17751
89,Student12,Assign7,23335
90,Student12,Assign8,0
91,Student12,Assign9,7668
92,Student12,Assign10,2955
93,Student12,Assign11,0
94,Student12,Assign12,14269
95,Student12,Assign13,1768
96,Student13,Assign6,7580
97,Student13,Assign7,0
98,Student13,Assign8,0
99,Student13,Assign9,0
100,Student13,Assign10,0
101,Student13,Assign11,0
102,Student13,Assign12,0
103,Student13,Assign13,0
104,Student14,Assign6,3771
105,Student14,Assign7,0
106,Student14,Assign8,0
107,Student14,Assign9,0
108,Student14,Assign10,0
109,Student14,Assign11,0
110,Student14,Assign12,0
111,Student14,Assign13,0
112,Student15,Assign6,14150
113,Student15,Assign7,8817
114,Student15,Assign8,7541
115,Student15,Assign9,6428
116,Student15,Assign10,0
117,Student15,Assign11,0
118,Student15,Assign12,0
119,Student15,Assign13,0
120,Student16,Assign6,12873
121,Student16,Assign7,9087
122,Student16,Assign8,8833
123,Student16,Assign9,11607
124,Student16,Assign10,3586
125,Student16,Assign11,7616
126,Student16,Assign12,17608
127,Student16,Assign13,7818
128,Student17,Assign6,11
129,Student17,Assign7,2580
130,Student17,Assign8,5550
131,Student17,Assign9,0
132,Student17,Assign10,0
133,Student17,Assign11,0
134,Student17,Assign12,0
135,Student17,Assign13,0
136,Student18,Assign6,5426
137,Student18,Assign7,6503
138,Student18,Assign8,418
139,Student18,Assign9,4824
140,Student18,Assign10,448
141,Student18,Assign11,7368
142,Student18,Assign12,829
143,Student18,Assign13,91
144,Student19,Assign6,6894
145,Student19,Assign7,5988
146,Student19,Assign8,9628
147,Student19,Assign9,0
148,Student19,Assign10,5415
149,Student19,Assign11,2479
150,Student19,Assign12,7919
151,Student19,Assign13,482
152,Student20,Assign6,10616
153,Student20,Assign7,16081
154,Student20,Assign8,2418
155,Student20,Assign9,2648
156,Student20,Assign10,236
157,Student20,Assign11,182
158,Student20,Assign12,24
159,Student20,Assign13,0
160,Student21,Assign6,14704
161,Student21,Assign7,11104
162,Student21,Assign8,10518
163,Student21,Assign9,5675
164,Student21,Assign10,1905
165,Student21,Assign11,0
166,Student21,Assign12,10342
167,Student21,Assign13,3245
168,Student22,Assign6,31071
169,Student22,Assign7,17452
170,Student22,Assign8,11697
171,Student22,Assign9,16569
172,Student22,Assign10,311
173,Student22,Assign11,11338
174,Student22,Assign12,4590
175,Student22,Assign13,0
176,Student23,Assign6,15918
177,Student23,Assign7,7957
178,Student23,Assign8,10874
179,Student23,Assign9,9433
180,Student23,Assign10,0
181,Student23,Assign11,3478
182,Student23,Assign12,9881
183,Student23,Assign13,0
184,Student24,Assign6,21708
185,Student24,Assign7,14737
186,Student24,Assign8,11236
187,Student24,Assign9,5892
188,Student24,Assign10,227
189,Student24,Assign11,3850
190,Student24,Assign12,16654
191,Student24,Assign13,6630
192,Student25,Assign6,2035
193,Student25,Assign7,0
194,Student25,Assign8,0
195,Student25,Assign9,0
196,Student25,Assign10,0
197,Student25,Assign11,0
198,Student25,Assign12,0
199,Student25,Assign13,0
200,Student26,Assign6,20773
201,Student26,Assign7,34619
202,Student26,Assign8,12023
203,Student26,Assign9,26965
204,Student26,Assign10,959
205,Student26,Assign11,6011
206,Student26,Assign12,14729
207,Student26,Assign13,6255
208,Student27,Assign6,10238
209,Student27,Assign7,11900
210,Student27,Assign8,10491
211,Student27,Assign9,6453
212,Student27,Assign10,375
213,Student27,Assign11,2229
214,Student27,Assign12,2383
215,Student27,Assign13,3203
216,Student28,Assign6,12096
217,Student28,Assign7,7639
218,Student28,Assign8,6856
219,Student28,Assign9,10063
220,Student28,Assign10,536
221,Student28,Assign11,2611
222,Student28,Assign12,11296
223,Student28,Assign13,3221
224,Student29,Assign6,15462
225,Student29,Assign7,0
226,Student29,Assign8,18474
227,Student29,Assign9,0
228,Student29,Assign10,281
229,Student29,Assign11,2868
230,Student29,Assign12,7939
231,Student29,Assign13,1677
232,Student30,Assign6,19731
