,Student,Assignment,Compilation_Count
119,Student15,Assign13,0
120,Student16,Assign6,110
121,Student16,Assign7,78
122,Student16,Assign8,0
123,Student16,Assign9,66
124,Student16,Assign10,45
125,Student16,Assign11,50
126,Student16,Assign12,114
127,Student16,Assign13,61
128,Student17,Assign6,1
129,Student17,Assign7,33
130,Student17,Assign8,64
131,Student17,Assign9,0
132,Student17,Assign10,0
133,Student17,Assign11,0
134,Student17,Assign12,0
135,Student17,Assign13,0
136,Student18,Assign6,37
137,Student18,Assign7,68
138,Student18,Assign8,51
139,Student18,Assign9,52
140,Student18,Assign10,207
141,Student18,Assign11,122
142,Student18,Assign12,7
143,Student18,Assign13,1
144,Student19,Assign6,115
145,Student19,Assign7,37
146,Student19,Assign8,63
147,Student19,Assign9,0
148,Student19,Assign10,126
149,Student19,Assign11,45
150,Student19,Assign12,42
151,Student19,Assign13,26
152,Student20,Assign6,219
153,Student20,Assign7,333
154,Student20,Assign8,6
155,Student20,Assign9,47
156,Student20,Assign10,23
157,Student20,Assign11,10
158,Student20,Assign12,1
159,Student20,Assign13,0
160,Student21,Assign6,103
161,Student21,Assign7,99
162,Student21,Assign8,82
163,Student21,Assign9,30
164,Student21,Assign10,65
165,Student21,Assign11,0
166,Student21,Assign12,78
167,Student21,Assign13,74
168,Student22,Assign6,349
169,Student22,Assign7,226
170,Student22,Assign8,141
171,Student22,Assign9,134
172,Student22,Assign10,115
173,Student22,Assign11,143
174,Student22,Assign12,26
175,Student22,Assign13,0
176,Student23,Assign6,263
177,Student23,Assign7,165
178,Student23,Assign8,166
179,Student23,Assign9,88
180,Student23,Assign10,0
181,Student23,Assign11,47
182,Student23,Assign12,62
183,Student23,Assign13,0
184,Student24,Assign6,315
185,Student24,Assign7,165
186,Student24,Assign8,65
187,Student24,Assign9,70
188,Student24,Assign10,72
189,Student24,Assign11,77
190,Student24,Assign12,127
191,Student24,Assign13,212
192,Student25,Assign6,40
193,Student25,Assign7,0
194,Student25,Assign8,0
195,Student25,Assign9,0
196,Student25,Assign10,0
197,Student25,Assign11,0
198,Student25,Assign12,0
199,Student25,Assign13,0
200,Student26,Assign6,414
201,Student26,Assign7,444
202,Student26,Assign8,95
203,Student26,Assign9,219
204,Student26,Assign10,169
205,Student26,Assign11,120
206,Student26,Assign12,155
207,Student26,Assign13,231
208,Student27,Assign6,316
209,Student27,Assign7,334
210,Student27,Assign8,172
211,Student27,Assign9,130
212,Student27,Assign10,94
213,Student27,Assign11,67
214,Student27,Assign12,36
215,Student27,Assign13,148
216,Student28,Assign6,235
